Error,Duration,Total,,,,
Management System - Controlled Fleet Stop,87702.9025,166366,,,,
F-PLC - Lost Heartbeat Signal,18953.7875,88829,,,,
Management System - Direct Stop,45283.57556,84848,,,,
AGV - Lifting Functionality Disabled,16453.36583,79931,,,,
Load Type - Sensor / Load Command Mismatch,14204.05389,77981,,,,
Traction Battery - Temperature Low Message,54673.90139,76779,,,, 
Load Type - Invalid Sensor States,11925.19806,68250,,,,
Disconnected from the FMDS,497272.485,58250,,,,
Tire Pressure - Not All Set,171873.0567,49678,,,,
Ultrasonic Sensor - Rack Navigation Sensor Error - FR1,811.5044444,39835,,,,
Navigation Computer - Travel Lane Error - F,114.3380556,34477,,,,
Navigation Computer - Travel Lane Error - R,59.33083333,27603,,,,
PLC - ABB Error - Category 4,33269.54722,23790,,,,
Tire Pressure - <= 9 bar - RR,27398.35444,14887,,,,
Traction Battery - Voltage Warning,51709.79667,13815,,,,
Temperature Monitor - Too Cold - Hydraulic Cabinet (+L3),4075.789167,13577,,,,
Tire Pressure - <= 9 bar - RL,22182.28139,12588,,,,
Ultrasonic Sensor - Rack Navigation Sensor Error - RR2,975.04,11480,,,,
Tire Pressure - <= 9 bar - FR,28973.49139,10490,,,,
Traction Battery - Wire IQ - Not Responding Warning,150416.5772,9853,,,,
Traction Battery - Electrolyte Level Low,15343.08833,9364,,,,
Tire Pressure - <= 9 bar - FL,22063.55306,9101,,,,
Traction Battery - at least one battery pack is too low,15415.01861,9014,,,,
Ultrasonic Sensor - Rack Occupied Sensor Error - FL,139.0061111,8779,,,,
E-Stop - Engaged - E-Stop Chain Not OK,42871.0625,8762,,,,
Traction Battery - Temperature High Warning,216960.7053,8650,,,,
Navigation Computer - Signal from Safety Relay is Missing while not Driving,1282678.445,8533,,,,
Tire Pressure - Data Receiver Not Responding - F,49402.54556,7752,,,,
Power In-Feed - Earth Ground Connection Error,48286.12194,7318,,,,
Traction Battery - Voltage Alert,17140.55417,6956,,,,
Temperature Monitor - Too Cold - Inverter Cabinet (+L2),1685.4125,6382,,,,
Temperature Monitor - Too Cold - Power Infeed Cabinet (+L4),3577.174167,5879,,,,
AGV - Operation Mode Switch not in 'AUTO',37924.02194,5057,,,,
Ultrasonic Sensor - Rack Navigation Sensor Error - RR1,723.0144444,4771,,,,
Traction Battery - Charge <= 25%,25567.41,3836,,,,
E-Stop - Engaged - Hand Remote,7752.403333,3748,,,,
Navigation Computer - Main Contactor (-K51 / -K52) - Signal is Missing,666.7508333,3389,,,,
Navigation Computer -  Corrupted Route Data - Index,153.6336111,3326,,,,
TEAMS-Error: Stop point error,48.18694444,3136,,,,
Ultrasonic Sensor - Rack Occupied Sensor Error - RML,22.3025,3129,,,,
Hydraulic System - Hydraulic Temperature Warning,1155.404444,3124,,,,
Traction Battery - Wire IQ - System Not Found,7187.178611,2819,,,,
Inverter - Oil Cooler Error,2639.438333,2764,,,,
Temperature Monitor - Too Cold - Navigation Cabinet (+L1),92.215,2728,,,,
Lift Platform - Cylinder Warnung - FML,224.6575,2694,,,,
Lift Platform - Cylinder Warnung - FL,36.10583333,2581,,,,
Traction Battery - Temperature High Error,1994.551111,2509,,,,
TEAMS-Error: Driving timeout,35.22638889,2332,,,,
PLC - ABB Error - Category 3,19121.89917,2301,,,,
Navigation Computer - Maximum Steering Angle Reached - RL,30.62694444,2267,,,,
Navigation Computer - 'n' Transponders Not Found,314.5622222,2219,,,,
Ultrasonic Sensor - Rack Navigation Sensor Error - FL3,188.4044444,2202,,,,
Navigation Computer - Expected Brake Path too Long,165.9283333,2108,,,,
Safe Load Exchange - Timeout Head Control,414.6733333,1909,,,,
Door - Door Open - Navigation Cabinet (+L1),5066.272222,1824,,,,
Safe Load Exchange - Timeout AGV,634.5255556,1606,,,,
Weight System - Weight Measurement Error,730.1491667,1585,,,,
Temperature Monitor - Too Warm - Navigation Cabinet (+L1),67.83166667,1552,,,,
Navigation Computer - Maximum Steering Angle Reached - FR,20.16111111,1551,,,,
Navigation Computer - Drive Tracking Error,107.1738889,1547,,,,
Hydraulic System - System Pressure Low,169.3975,1487,,,,
Power In-Feed - Circuit Breaker Error,22432.91194,1403,,,,
TEAMS-Error: AGV outside claim,20.95972222,1400,,,,
AGV - Operation Mode Switch is 'OFF',668.0566667,1369,,,,
Inverter - Oil Cooler Warning,20.3925,1359,,,,
F-PLC - Heartbeat Error,303.8375,1256,,,,
Power In-Feed - Electrical Protection Relay Error,16269.44778,1223,,,,
F-PLC - Speeding in reduced speed area,115.1072222,1218,,,,
Power In-Feed - Pre-Charging 720 V Fault,343.3502778,1201,,,,
Inverter - R-Drive - Warning,8.555555556,1133,,,,
Lift Platform - Cylinder Warnung - RL,195.4925,1057,,,,
Tire Pressure - System Not Found,7807.965,996,,,,
Tire Pressure - Data Receiver Not Responding - R,2188.1125,921,,,,
Drive Encoder - Not Incrementing - FL,7295.601111,905,,,,
Power In-Feed - K52A no Response,2.285555556,898,,,,
Inverter - Oil Cooler - Over Temperature Motor 28,470.3397222,878,,,,
AGV - Brakes Engaged while Driving,21.9775,876,,,,
Fuse Tripped - Oil Cooler Inverter,821.9491667,855,,,,
Lift Platform - Cylinder Warnung - RMR,143.2011111,847,,,,
Temperature Monitor - Temperature Sensor Error - Hydraulic Cabinet (+L3),1.085555556,830,,,,
Drive Encoder - Not Incrementing - FR,6760.191944,827,,,,
Navigation Computer - Navigation<->PLC Communication Signal is Missing,852.1013889,825,,,,
CAN - CAN A - Navigation <=> PLC Connection Interrupted,850.5425,821,,,,
Navigation Computer - Maximum Steering Angle Reached - FL,4.753888889,816,,,,
System Battery - System Battery Low (<22V),3938.840556,814,,,,
Drive Encoder - Not Incrementing - RL,8019.245833,800,,,,
Drive Encoder - Not Incrementing - RR,6201.551389,794,,,,
AGV - Multiple Error Resets,406.0705556,793,,,,
Ultrasonic Sensor - Rack Navigation Sensor Error - FR2,275.1447222,790,,,,
Navigation Computer - Too Far off Travel Path,58.8775,776,,,,
Traction Battery - Charge <= 20%,6848.653611,757,,,,
E-Stop - Engaged - Bumper - F,817.0330556,735,,,,
Inverter - F-Drive - Error,371.5336111,732,,,,
PLC - Power to Encoder Card is Off,2017.211389,731,,,,
Inverter - R-Drive - Error,419.8138889,728,,,,
Navigation Computer - Route Deviation too Big,58.73805556,719,,,,
Oil Cooler Motor not working (I << Nominal Current),114.3577778,711,,,,
E-Stop - Engaged - Bumper - R,1377.730556,692,,,,
Inverter - Oil Cooler - Power Supply 15,842.3991667,685,,,,
Navigation Computer - Maximum Steering Angle Reached - RR,2.194722222,681,,,,
PLC - Outputs Disabled,962.2191667,672,,,,
F-PLC - Position difference F-PLC <-> Navigation,61.13472222,663,,,,
AGV - Rack is Occupied,246.1827778,662,,,,
Inverter - F-Drive - Warning,8.605277778,649,,,,
Power In-Feed - K52B no Response,1.506388889,632,,,,
Lift Platform - Cylinder Warnung - RR,42.76555556,630,,,,
Navigation Computer - Lift Platforms not Raised,256.39,553,,,,
Lift Platform - Cylinder Warnung - FMR,105.8827778,552,,,,
Ultrasonic Sensor - Rack Navigation Sensor Error - RR3,829.4347222,523,,,,
Inverter - Hydraulic Pump - Error,599.9605556,520,,,,
System Battery - System Battery Charging Error,451.485,498,,,,
Weight System - Sensor Error - FR,2884.493056,480,,,,
F-PLC - AGV in restricted area,124.7002778,454,,,,
CAN - CAN A - NS Communication Error,428.4630556,452,,,,
Navigation Computer - Undetermined Lift Platform State,101.6869444,449,,,,
Ultrasonic Sensor - Rack Navigation Sensor Error - RL2,164.5,425,,,,
Steering System - Steering Fault - F,83.39583333,419,,,,
Navigation Computer - Feedback Signal from Safety Relay is Missing,1168.457778,413,,,,
Weight System - Sensor Error - RR,1630.119722,406,,,,
F-PLC - Implausible Axle Speeds - F&R,34.96861111,395,,,,
Ultrasonic Sensor - Rack Occupied Sensor Error - RMR,63.57111111,394,,,,
Lift Platform - Cylinder Warnung - RML,33.12694444,392,,,,
Steering System - Steering Fault - R,87.61972222,391,,,,
Steering System - Steering Valve Difference - R,143.8544444,371,,,,
AGV - Traction Battery Shutter Open While Battery On,1879.481389,348,,,,
Door - Door Open - Power Infeed Cabinet (+L4),491.8058333,346,,,,
Weight System - Sensor Error - RL,1276.871944,343,,,,
TEAMS-Error: Route-List-Response timeout,5.376666667,335,,,,
Tire Pressure - >= 12 bar - FR,725.2525,327,,,,
Lift Platform - Cylinder Warnung - FR,33.745,324,,,,
Lift Platform - Raising Timeout - R,73.09361111,308,,,,
Lift Platform - Raising Timeout - F,72.90777778,305,,,,
Ultrasonic Sensor - Rack Navigation Sensor Error - FL2,969.9580556,303,,,,
Ultrasonic Sensor - Rack Navigation Sensor Error - FL1,605.9097222,294,,,,
AGV - Standby Mode Active,1663.179722,292,,,,
Steering System - Steering Valve Difference - F,64.24194444,288,,,,
Hydraulic System - Pressure Reservoir Low,25.05027778,287,,,,
E-Stop - Engaged - Hydraulic Cabinet (+L3),554.7891667,277,,,,
Ultrasonic Sensor - Rack Navigation Sensor Error - RL1,130.9463889,260,,,,
Weight System - Sensor Error - FL,1182.571111,258,,,,
Inverter - Oil Cooler - UZK too Big 3,515.6788889,252,,,,
