Date,M,O,R4,R5,W
1/1/2017,200,40,35,3,91
1/2/2017,275,105,151,4,420
1/3/2017,449,175,260,0,266
1/4/2017,322,139,89,4,78
1/5/2017,440,84,343,0,63
1/6/2017,398,143,226,14,59
1/7/2017,402,100,159,6,32
1/8/2017,286,127,59,0,23
1/9/2017,344,150,121,1,46
1/10/2017,411,196,188,2,50
1/11/2017,232,111,164,4,75
1/12/2017,282,91,43,0,55
1/13/2017,522,120,381,5,44
1/14/2017,314,93,178,18,92
1/15/2017,325,62,202,1,40
1/16/2017,346,156,151,5,32
1/17/2017,413,103,151,8,82
1/18/2017,633,229,109,6,99
1/19/2017,263,95,200,16,61
1/20/2017,356,132,284,14,73
1/21/2017,380,96,76,4,58
1/22/2017,330,130,199,4,71
1/23/2017,331,118,229,14,68
1/24/2017,200,43,157,10,51
1/25/2017,424,156,148,11,68
1/26/2017,476,179,385,35,102
1/27/2017,374,91,188,19,65
1/28/2017,199,18,116,0,33
1/29/2017,261,96,80,4,34
1/30/2017,228,82,47,0,54
1/31/2017,226,76,75,0,58
2/1/2017,273,106,94,18,108
2/2/2017,258,105,178,1,77
2/3/2017,200,52,42,5,21
2/4/2017,214,82,235,2,147
2/5/2017,229,82,64,3,31
2/6/2017,305,115,136,13,60
2/7/2017,331,140,148,2,77
2/8/2017,342,83,215,19,198
2/9/2017,346,151,143,5,362
2/10/2017,506,143,96,8,203
2/11/2017,486,90,248,5,98
2/12/2017,368,173,176,5,73
2/13/2017,417,195,165,14,498
2/14/2017,351,144,80,7,989
2/15/2017,296,73,93,17,188
2/16/2017,242,85,97,3,83
2/17/2017,310,94,187,1,74
2/18/2017,293,90,76,4,32
2/19/2017,305,93,112,2,87
2/20/2017,195,75,135,0,51
2/21/2017,219,62,104,3,34
2/22/2017,274,119,121,25,98
2/23/2017,178,55,102,4,70
2/24/2017,272,88,65,1,183
2/25/2017,379,143,161,3,59
2/26/2017,363,149,59,3,165
2/27/2017,497,138,189,8,31
2/28/2017,318,93,170,34,39
3/1/2017,231,95,71,3,49
3/2/2017,354,174,86,0,207
3/3/2017,562,231,260,12,63
3/4/2017,372,158,49,3,61
3/5/2017,327,168,61,2,48
3/6/2017,254,111,52,5,56
3/7/2017,350,143,69,3,95
3/8/2017,321,127,87,2,97
3/9/2017,392,145,218,17,130
3/10/2017,358,147,237,12,69
3/11/2017,228,96,40,5,40
3/12/2017,277,110,192,6,45
3/13/2017,293,119,70,1,68
3/14/2017,367,163,93,9,79
3/15/2017,267,72,43,3,80
3/16/2017,380,102,179,4,102
3/17/2017,386,145,34,2,76
3/18/2017,236,98,47,0,59
3/19/2017,250,97,63,0,46
3/20/2017,574,224,73,8,94
3/21/2017,295,99,128,10,92
3/22/2017,310,97,215,6,64
3/23/2017,362,160,93,6,124
3/24/2017,348,147,21,1,82
3/25/2017,206,72,24,0,74
3/26/2017,298,89,103,3,49
3/27/2017,288,59,189,7,69
3/28/2017,307,93,150,2,115
3/29/2017,304,109,101,3,136
3/30/2017,409,169,43,1,194
3/31/2017,306,88,160,4,143
4/1/2017,172,53,35,0,163
4/2/2017,180,65,115,3,273
4/3/2017,257,70,77,0,117
4/4/2017,377,120,109,7,146
4/5/2017,264,71,113,3,65
4/6/2017,392,134,108,13,133
4/7/2017,216,75,43,2,78
4/8/2017,291,119,111,17,98
4/9/2017,209,46,92,13,43
4/10/2017,344,145,45,1,120
4/11/2017,268,97,41,4,113
4/12/2017,302,106,41,2,105
4/13/2017,338,165,54,2,167
4/14/2017,273,90,72,6,95
4/15/2017,421,115,198,2,76
4/16/2017,284,120,42,2,116
4/17/2017,261,93,44,1,84
4/18/2017,158,42,18,1,26
4/19/2017,421,165,136,12,89
4/20/2017,548,172,521,17,65
4/21/2017,233,80,279,0,67
4/22/2017,218,67,45,4,48
4/23/2017,359,97,128,1,81
4/24/2017,230,85,218,7,66
4/25/2017,350,155,69,0,60
4/26/2017,322,90,176,10,242
4/27/2017,258,92,95,6,30
4/28/2017,239,96,107,4,73
4/29/2017,327,122,185,1,70
4/30/2017,272,120,102,0,21
5/1/2017,318,70,222,1,38
5/2/2017,255,117,80,2,52
5/3/2017,203,85,90,19,54
5/4/2017,274,108,139,11,476
5/5/2017,298,93,107,8,80
5/6/2017,258,107,133,2,68
5/7/2017,505,121,306,14,140
5/8/2017,262,109,141,6,291
5/9/2017,307,97,132,8,524
5/10/2017,322,108,125,16,71
5/11/2017,361,92,223,7,218
5/12/2017,341,139,40,0,299
5/13/2017,264,104,54,1,147
5/14/2017,262,82,129,1,156
5/15/2017,391,120,46,2,206
5/16/2017,444,174,129,6,150
5/17/2017,223,70,93,13,430
5/18/2017,451,181,88,33,204
5/19/2017,313,111,202,15,70
5/20/2017,432,196,199,3,143
5/21/2017,192,78,186,0,288
5/22/2017,365,117,199,1,149
5/23/2017,295,115,173,7,309
5/24/2017,296,124,136,1,196
5/25/2017,357,135,172,2,89
5/26/2017,331,152,91,2,639
5/27/2017,396,134,252,17,409
5/28/2017,304,44,389,6,194
5/29/2017,433,134,231,12,459
5/30/2017,401,158,134,11,345
5/31/2017,288,109,209,12,257
6/1/2017,301,91,119,1,431
6/2/2017,241,65,113,1,535
6/3/2017,239,72,92,6,269
6/4/2017,335,68,165,3,325
6/5/2017,347,110,305,7,838
6/6/2017,257,40,368,3,189
6/7/2017,471,70,385,10,467
6/8/2017,262,92,372,13,688
6/9/2017,398,167,245,1,810
6/10/2017,273,97,139,8,293
6/11/2017,283,107,106,10,263
6/12/2017,317,117,107,10,204
6/13/2017,273,108,154,22,189
6/14/2017,267,67,136,2,205
6/15/2017,347,135,172,12,216
6/16/2017,284,98,109,3,143
6/17/2017,489,192,134,4,143
6/18/2017,323,78,245,4,122
6/19/2017,301,107,117,8,147
6/20/2017,327,111,148,4,248
6/21/2017,344,132,166,6,234
6/22/2017,270,102,159,17,104
6/23/2017,369,101,221,13,187
6/24/2017,324,43,255,14,52
6/25/2017,375,119,90,0,169
6/26/2017,203,54,164,0,144
6/27/2017,266,84,68,11,122
6/28/2017,239,76,111,8,114
6/29/2017,235,79,65,2,157
6/30/2017,422,155,272,12,200
7/1/2017,199,79,144,3,132
7/2/2017,371,119,87,12,281
7/3/2017,293,107,182,3,151
7/4/2017,352,90,156,15,251
7/5/2017,330,132,178,12,134
7/6/2017,211,67,123,9,89
7/7/2017,253,67,99,4,121
7/8/2017,412,162,64,11,153
7/9/2017,390,139,100,1,126
7/10/2017,287,111,54,3,131
7/11/2017,253,87,42,5,145
7/12/2017,303,123,63,1,88
7/13/2017,285,124,93,3,87
7/14/2017,320,138,109,1,77
7/15/2017,199,85,103,0,60
7/16/2017,228,94,53,17,55
7/17/2017,251,113,131,0,105
7/18/2017,313,130,132,8,114
7/19/2017,321,113,103,1,176
7/20/2017,136,56,158,7,68
7/21/2017,367,159,27,0,75
7/22/2017,229,102,56,3,76
7/23/2017,324,93,101,2,58
7/24/2017,144,62,56,7,75
7/25/2017,259,116,128,8,73
7/26/2017,179,70,141,4,98
7/27/2017,258,111,35,0,97
7/28/2017,344,154,119,4,84
7/29/2017,344,130,113,6,51
7/30/2017,264,118,132,5,48
7/31/2017,246,105,65,7,86
8/1/2017,303,89,470,4,108
8/2/2017,276,115,57,10,61
8/3/2017,175,117,88,1,34
8/4/2017,361,148,112,19,78
8/5/2017,270,101,46,7,109
8/6/2017,377,143,63,5,82
8/7/2017,167,65,51,6,74
8/8/2017,190,85,37,0,78
8/9/2017,338,103,21,0,76
8/10/2017,313,135,23,0,57
8/11/2017,274,141,38,2,89
8/12/2017,275,110,72,8,70
8/13/2017,288,104,160,1,57
8/14/2017,223,98,29,2,82
8/15/2017,292,137,75,10,76
8/16/2017,314,100,172,2,52
8/17/2017,526,236,50,5,73
8/18/2017,273,121,70,6,51
8/19/2017,187,79,107,1,84
8/20/2017,354,152,173,2,43
8/21/2017,256,133,77,11,64
8/22/2017,221,121,55,1,61
8/23/2017,415,148,152,3,57
8/24/2017,299,164,119,0,68
8/25/2017,572,292,165,8,178
8/26/2017,252,118,78,0,91
8/27/2017,307,107,109,8,197
8/28/2017,238,93,228,1,84
8/29/2017,247,135,50,0,82
8/30/2017,275,93,99,5,67
8/31/2017,423,141,305,49,183
9/1/2017,426,192,157,5,114
9/2/2017,344,177,48,0,52
9/3/2017,329,121,84,1,64
9/4/2017,319,151,77,0,127
9/5/2017,271,126,53,3,113
9/6/2017,343,149,146,10,81
9/7/2017,446,177,143,5,72
9/8/2017,370,155,127,0,117
9/9/2017,264,113,70,4,100
9/10/2017,416,103,296,3,71
9/11/2017,229,119,55,0,92
9/12/2017,275,126,63,2,95
9/13/2017,265,82,49,2,152
9/14/2017,330,136,134,5,74
9/15/2017,369,175,80,2,101
9/16/2017,325,122,98,0,82
9/17/2017,522,138,479,29,95
9/18/2017,326,145,121,5,95
9/19/2017,246,117,60,1,68
9/20/2017,177,85,19,2,63
9/21/2017,294,152,68,1,54
9/22/2017,656,253,390,8,114
9/23/2017,492,118,182,5,110
9/24/2017,292,138,120,0,57
9/25/2017,243,94,108,6,55
9/26/2017,232,102,149,1,230
9/27/2017,330,145,85,4,331
9/28/2017,281,116,153,11,121
9/29/2017,388,182,36,3,75
9/30/2017,402,108,205,0,72
10/1/2017,359,146,132,6,71
10/2/2017,249,126,71,11,67
10/3/2017,260,136,42,4,99
10/4/2017,277,140,36,15,53
10/5/2017,361,116,218,3,91
10/6/2017,370,130,191,4,130
10/7/2017,449,238,107,7,79
10/8/2017,251,116,42,0,67
10/9/2017,273,104,125,3,95
10/10/2017,214,91,37,1,100
10/11/2017,490,204,145,5,326
10/12/2017,356,149,117,6,160
10/13/2017,325,167,65,5,93
10/14/2017,339,108,170,2,119
10/15/2017,390,184,79,12,199
10/16/2017,207,91,51,4,63
10/17/2017,397,150,124,11,92
10/18/2017,383,150,56,4,122
10/19/2017,382,180,84,1,81
10/20/2017,228,95,50,7,53
10/21/2017,537,244,66,21,123
10/22/2017,523,219,91,0,168
10/23/2017,328,115,177,19,103
10/24/2017,327,137,55,3,100
10/25/2017,457,154,237,3,63
10/26/2017,364,165,131,16,193
10/27/2017,430,188,229,18,114
10/28/2017,484,140,27,7,75
10/29/2017,384,142,15,0,82
10/30/2017,280,81,12,0,63
10/31/2017,376,178,62,1,103
11/1/2017,239,91,23,2,58
11/2/2017,347,158,123,3,73
11/3/2017,279,121,37,2,87
11/4/2017,437,130,155,2,68
11/5/2017,316,118,81,2,109
11/6/2017,305,121,108,3,239
11/7/2017,267,101,62,1,167
11/8/2017,315,96,45,11,97
11/9/2017,490,169,128,6,120
11/10/2017,315,47,116,9,48
11/11/2017,439,124,93,6,51
11/12/2017,418,70,108,11,96
11/13/2017,485,191,145,21,382
11/14/2017,380,137,149,12,452
11/15/2017,555,114,392,6,376
11/16/2017,354,129,118,12,192
11/17/2017,373,126,151,6,63
11/18/2017,389,127,48,14,80
11/19/2017,439,67,112,2,35
11/20/2017,370,81,57,6,151
11/21/2017,291,99,68,0,79
11/22/2017,380,124,133,4,68
11/23/2017,451,200,96,3,193
11/24/2017,376,103,197,29,309
11/25/2017,514,182,97,7,254
11/26/2017,450,102,121,5,86
11/27/2017,517,133,261,7,169
11/28/2017,341,120,80,3,133
11/29/2017,356,80,135,0,125
11/30/2017,584,118,194,10,154
12/1/2017,576,203,112,18,116
12/2/2017,665,134,251,25,77
12/3/2017,397,110,72,7,171
12/4/2017,386,138,33,0,142
12/5/2017,390,131,211,15,850
12/6/2017,355,56,43,2,574
12/7/2017,567,168,468,35,585
12/8/2017,673,171,373,62,264
12/9/2017,576,116,277,31,240
12/10/2017,889,115,390,6,80
12/11/2017,959,176,192,8,151
12/12/2017,596,208,257,25,222
12/13/2017,591,194,170,21,173
12/14/2017,448,163,96,7,465
12/15/2017,536,158,126,33,1554
12/16/2017,588,140,183,5,877
12/17/2017,809,298,258,19,1692
12/18/2017,592,178,304,34,1462
12/19/2017,367,107,137,5,1223
12/20/2017,466,175,103,7,1854
12/21/2017,513,144,124,4,1273
12/22/2017,372,106,103,7,2139
12/23/2017,458,165,62,2,1523
12/24/2017,459,67,64,1,295
12/25/2017,349,0,0,0,119
12/26/2017,808,120,551,29,733
12/27/2017,754,232,417,45,1598
12/28/2017,711,172,267,11,803
12/29/2017,532,128,118,5,962
12/30/2017,404,128,99,8,1278
12/31/2017,374,73,214,5,811
1/1/2018,234,11,63,6,164
