Date,M,O,R4,R5,W
2017-01-01,200,40,35,3,91
2017-01-02,275,105,151,4,420
2017-01-03,449,175,260,0,266
2017-01-04,322,139,89,4,78
2017-01-05,440,84,343,0,63
2017-01-06,398,143,226,14,59
2017-01-07,402,100,159,6,32
2017-01-08,286,127,59,0,23
2017-01-09,344,150,121,1,46
2017-01-10,411,196,188,2,50
2017-01-11,232,111,164,4,75
2017-01-12,282,91,43,0,55
2017-01-13,522,120,381,5,44
2017-01-14,314,93,178,18,92
2017-01-15,325,62,202,1,40
2017-01-16,346,156,151,5,32
2017-01-17,413,103,151,8,82
2017-01-18,633,229,109,6,99
2017-01-19,263,95,200,16,61
2017-01-20,356,132,284,14,73
2017-01-21,380,96,76,4,58
2017-01-22,330,130,199,4,71
2017-01-23,331,118,229,14,68
2017-01-24,200,43,157,10,51
2017-01-25,424,156,148,11,68
2017-01-26,476,179,385,35,102
2017-01-27,374,91,188,19,65
2017-01-28,199,18,116,0,33
2017-01-29,261,96,80,4,34
2017-01-30,228,82,47,0,54
2017-01-31,226,76,75,0,58
2017-02-01,273,106,94,18,108
2017-02-02,258,105,178,1,77
2017-02-03,200,52,42,5,21
2017-02-04,214,82,235,2,147
2017-02-05,229,82,64,3,31
2017-02-06,305,115,136,13,60
2017-02-07,331,140,148,2,77
2017-02-08,342,83,215,19,198
2017-02-09,346,151,143,5,362
2017-02-10,506,143,96,8,203
2017-02-11,486,90,248,5,98
2017-02-12,368,173,176,5,73
2017-02-13,417,195,165,14,498
2017-02-14,351,144,80,7,989
2017-02-15,296,73,93,17,188
2017-02-16,242,85,97,3,83
2017-02-17,310,94,187,1,74
2017-02-18,293,90,76,4,32
2017-02-19,305,93,112,2,87
2017-02-20,195,75,135,0,51
2017-02-21,219,62,104,3,34
2017-02-22,274,119,121,25,98
2017-02-23,178,55,102,4,70
2017-02-24,272,88,65,1,183
2017-02-25,379,143,161,3,59
2017-02-26,363,149,59,3,165
2017-02-27,497,138,189,8,31
2017-02-28,318,93,170,34,39
2017-03-01,231,95,71,3,49
2017-03-02,354,174,86,0,207
2017-03-03,562,231,260,12,63
2017-03-04,372,158,49,3,61
2017-03-05,327,168,61,2,48
2017-03-06,254,111,52,5,56
2017-03-07,350,143,69,3,95
2017-03-08,321,127,87,2,97
2017-03-09,392,145,218,17,130
2017-03-10,358,147,237,12,69
2017-03-11,228,96,40,5,40
2017-03-12,277,110,192,6,45
2017-03-13,293,119,70,1,68
2017-03-14,367,163,93,9,79
2017-03-15,267,72,43,3,80
2017-03-16,380,102,179,4,102
2017-03-17,386,145,34,2,76
2017-03-18,236,98,47,0,59
2017-03-19,250,97,63,0,46
2017-03-20,574,224,73,8,94
2017-03-21,295,99,128,10,92
2017-03-22,310,97,215,6,64
2017-03-23,362,160,93,6,124
2017-03-24,348,147,21,1,82
2017-03-25,206,72,24,0,74
2017-03-26,298,89,103,3,49
2017-03-27,288,59,189,7,69
2017-03-28,307,93,150,2,115
2017-03-29,304,109,101,3,136
2017-03-30,409,169,43,1,194
2017-03-31,306,88,160,4,143
2017-04-01,172,53,35,0,163
2017-04-02,180,65,115,3,273
2017-04-03,257,70,77,0,117
2017-04-04,377,120,109,7,146
2017-04-05,264,71,113,3,65
2017-04-06,392,134,108,13,133
2017-04-07,216,75,43,2,78
2017-04-08,291,119,111,17,98
2017-04-09,209,46,92,13,43
2017-04-10,344,145,45,1,120
2017-04-11,268,97,41,4,113
2017-04-12,302,106,41,2,105
2017-04-13,338,165,54,2,167
2017-04-14,273,90,72,6,95
2017-04-15,421,115,198,2,76
2017-04-16,284,120,42,2,116
2017-04-17,261,93,44,1,84
2017-04-18,158,42,18,1,26
2017-04-19,421,165,136,12,89
2017-04-20,548,172,521,17,65
2017-04-21,233,80,279,0,67
2017-04-22,218,67,45,4,48
2017-04-23,359,97,128,1,81
2017-04-24,230,85,218,7,66
2017-04-25,350,155,69,0,60
2017-04-26,322,90,176,10,242
2017-04-27,258,92,95,6,30
2017-04-28,239,96,107,4,73
2017-04-29,327,122,185,1,70
2017-04-30,272,120,102,0,21
2017-05-01,318,70,222,1,38
2017-05-02,255,117,80,2,52
2017-05-03,203,85,90,19,54
2017-05-04,274,108,139,11,476
2017-05-05,298,93,107,8,80
2017-05-06,258,107,133,2,68
2017-05-07,505,121,306,14,140
2017-05-08,262,109,141,6,291
