AgvOpHours,AGVVersion,AxleLoadFront,AxleLoadRear,BatIsEveryBatteryFullyCharged,BatMinTemperature,BatStateOfChargePercentage,BatStateOfChargePercentageTemperature,Batt1BatteryID,Batt1CumulatedAhInDischarge,Batt2CumulatedAhInDischarge,Batt3CumulatedAhInDischarge,Batt4CumulatedAhInDischarge,Batt5CumulatedAhInDischarge,Batt6CumulatedAhInDischarge,Batt7CumulatedAhInDischarge,Batt8CumulatedAhInDischarge,Batt9CumulatedAhInDischarge,DrivingDistanceBackward,DrivingDistanceForward,DrivingOpHours,HighPressOpHours,LiftStateFront,LiftStateRear,PLCHydraulicCoolingOn,PLCVersion,TemperatureCabinetL1,TemperatureCabinetL2,TemperatureCabinetL3,TemperatureCabinetL4,TimeBeingAllocated,target
10390,100180514,0,0,None,21,50,46,AB_078_1,203358,207796,206491,205943,206477,204589,207297,205303,205555,29,22,4095,5395,0,0,1,100180213,21,19,20,25,18,Management System - Direct Stop
11607,100180514,29000,24000,None,38,37,37,AB_032_1,2057092,205039,206787,206567,203698,203198,205086,203702,205042,20258,19748,4606,6048,0,0,1,None,28,31,30,29,23219,Management System - Direct Stop
12209,None,8500,8500,None,37,45,45,AB_013_1,203533,203189,195208,202706,199589,185974,202776,202510,204135,17787,17473,4866,6394,0,0,0,None,23,30,29,25,16266,Management System - Direct Stop
12262,None,0,0,None,37,35,35,AB_116_1,198756,192784,187181,110916,197610,195532,198471,198642,196260,19061,18470,4885,6409,0,0,0,None,23,29,30,24,17785,Management System - Direct Stop
12262,None,0,0,None,37,35,35,AB_116_1,198756,192784,187181,110916,197610,195532,198471,198642,196260,19061,18470,4885,6409,0,0,0,None,23,29,30,24,17785,Management System - Direct Stop
12118,100180514,3000,21000,None,32,63,63,AB_119_1,208784,206242,209167,211941,209211,205260,208860,208175,208933,18794,18524,4821,6287,0,0,0,None,24,21,21,21,17970,Management System - Direct Stop
11872,None,0,0,None,43,94,94,AB_008_1,213268,215141,214782,215289,215728,204190,212788,214147,214066,20795,20401,4786,6273,0,0,1,None,25,26,24,24,24746,Management System - Direct Stop
11389,None,5500,5500,None,34,54,54,AB_054_1,181075,179834,178510,182981,182347,179948,179245,180953,180560,18699,18444,4633,6032,0,0,0,None,24,31,30,25,18396,Management System - Direct Stop
11855,100180514,0,0,None,33,78,78,AB_083_1,174557,175423,165324,4950946,175831,173947,177826,175765,174783,1249,1191,4747,6227,0,0,0,None,25,28,27,25,895,Management System - Direct Stop
11855,100180514,0,0,None,33,78,78,AB_083_1,174557,175423,165324,4950946,175831,173947,177826,175765,174783,1249,1191,4747,6227,0,0,0,None,25,28,27,25,895,Management System - Direct Stop
11855,100180514,0,0,None,33,78,78,AB_083_1,174557,175423,165324,4950946,175831,173947,177826,175765,174783,1249,1191,4747,6227,255,255,0,None,25,28,27,25,895,Management System - Direct Stop
11855,100180514,0,0,None,33,78,78,AB_083_1,174557,175423,165324,4950946,175831,173947,177826,175765,174783,1249,1191,4747,6227,1,1,0,None,25,29,28,25,895,Management System - Direct Stop
11855,100180514,0,0,None,33,78,78,AB_083_1,174557,175423,165324,4950946,175831,173947,177826,175765,174783,1249,1191,4747,6227,1,1,0,None,24,29,28,25,895,Management System - Direct Stop
12289,100180514,4000,3000,None,37,53,53,AB_033_1,191645,193099,180305,192885,193397,178907,190099,191836,191289,20683,20276,4877,6385,0,0,0,None,24,28,25,24,25076,Management System - Direct Stop
11855,100180514,0,0,None,33,79,79,AB_083_1,174553,175419,165320,4950942,175826,173943,177822,175761,174779,1249,1191,4747,6227,0,0,0,None,25,29,29,25,895,Management System - Direct Stop
12063,100180514,2000,2000,None,37,81,81,AB_065_1,1393642,201844,201822,200832,202805,198059,201759,8614530,202176,4602,4351,4885,6379,0,0,1,None,25,30,30,26,3618,Management System - Direct Stop
12133,None,30000,4000,None,33,65,65,AB_093_1,193110,189397,194179,190642,193019,190989,193447,195725,10664,20913,20596,4874,6366,0,0,0,None,24,30,28,26,25527,Management System - Direct Stop
11855,100180514,2000,3000,None,38,50,50,AB_088_1,210759,209052,209966,203372,212372,209018,212342,209026,210145,1281,1248,4104,5339,0,0,1,None,28,30,29,27,958,Management System - Direct Stop
12472,None,2000,3000,None,40,95,95,AB_106_1,218762,218438,220655,220135,217718,215935,217133,218669,219268,21293,21022,4130,5375,0,0,1,None,26,31,32,27,26529,Management System - Direct Stop
12472,None,2000,3000,None,40,95,95,AB_106_1,218762,218438,220655,220135,217718,215935,217133,218669,219268,21293,21022,4130,5375,0,0,1,None,26,31,32,27,26529,Management System - Direct Stop
11866,None,0,0,None,34,86,86,AB_016_1,202553,203929,204379,204638,203075,199528,202918,204992,204303,20167,19637,4608,6036,0,0,0,None,24,29,27,24,25927,Management System - Direct Stop
12341,100180514,0,0,None,22,33,31,AB_038_1,156553,199892,199592,201694,199888,200057,199182,199094,198943,19111,18743,4874,6397,0,0,0,None,27,30,30,28,18173,Management System - Direct Stop
12341,100180514,0,0,None,22,33,30,AB_038_1,156553,199892,199591,201693,199887,200056,199181,199094,198942,19111,18743,4874,6397,0,0,1,None,27,30,30,28,18173,Management System - Direct Stop
12203,100180514,12000,14000,None,36,79,79,AB_081_1,222074,221289,222529,222365,220710,5365418,4968494,220361,224343,19112,18704,4879,6380,0,0,0,None,26,30,29,26,18062,Management System - Direct Stop
11686,None,0,0,None,36,29,29,AB_103_1,215141,215999,214319,214991,214368,215653,216097,215439,216172,1365,1310,4363,5669,0,0,0,None,29,28,26,27,985,Management System - Direct Stop
12203,100180514,12000,14000,None,37,79,79,AB_081_1,222074,221289,222529,222365,220710,5365418,4968494,220361,224343,19110,18702,4879,6380,0,0,0,None,29,31,30,29,18061,Management System - Direct Stop
11853,100180514,25000,25000,None,39,63,63,AB_088_1,210688,208981,209895,203301,212300,208947,212270,208955,210074,1277,1244,4103,5338,0,0,0,None,28,33,32,29,955,Management System - Direct Stop
12203,100180514,14000,14000,None,36,79,79,AB_081_1,222068,221283,222523,222358,220704,5365412,4968488,220354,224337,19110,18702,4879,6380,0,0,1,None,29,30,29,30,18061,Management System - Direct Stop
11865,None,0,0,None,35,86,86,AB_016_1,202552,203927,204378,204637,203073,199527,202916,204991,204301,20166,19636,4608,6036,0,0,0,None,24,31,29,25,25925,Management System - Direct Stop
11851,100180514,0,0,None,40,81,81,AB_088_1,210593,208887,209801,203206,212205,208854,212175,208861,209980,1273,1239,4102,5337,0,0,1,None,26,32,31,26,953,Management System - Direct Stop
12197,None,0,1000,None,37,64,64,AB_036_1,204151,204935,203639,204525,198819,202271,199960,202950,203166,17763,17449,4861,6388,0,0,0,None,25,28,27,24,16250,Management System - Direct Stop
12311,100180514,0,0,None,20,75,67,AB_017_1,182719,190071,191723,191231,191327,189154,190903,188247,190254,18058,17825,4986,6498,0,0,0,None,24,24,23,25,16632,Management System - Direct Stop
11051,None,0,0,None,39,57,57,AB_056_1,195671,190454,197240,197978,193419,195948,196158,196361,196195,19454,19054,4518,5863,0,0,0,None,22,29,28,23,20254,Management System - Direct Stop
11378,None,0,0,None,39,85,85,AB_051_1,189302,178587,189796,189662,180754,185761,189372,189515,188740,18679,18425,4628,6026,0,0,1,None,25,29,29,24,18380,Management System - Direct Stop
12055,100180514,0,0,None,43,77,77,AB_109_1,204216,205311,204205,207429,206422,204827,205832,208195,205998,4587,4336,4882,6375,0,0,0,None,24,25,23,22,3605,Management System - Direct Stop
12163,100180514,5000,8000,None,43,85,85,AB_086_1,197174,196925,199128,199625,200226,197179,195365,199081,199244,20618,20405,4873,6378,0,0,0,None,20,27,26,21,25036,Management System - Direct Stop
12246,None,0,0,None,47,88,87,AB_037_1,192981,196684,0,192218,193285,192720,194684,194378,192488,19034,18439,4878,6401,0,0,0,None,23,28,28,21,17762,Management System - Direct Stop
8900,100180514,18000,22000,None,32,55,55,AB_058_1,203270,203738,203310,202601,202398,201350,202740,201336,204515,1341,1266,3723,4833,0,0,0,None,23,28,27,22,961,Management System - Direct Stop
12246,None,0,0,None,47,88,88,AB_037_1,192981,196684,0,192218,193285,192720,194684,194378,192488,19034,18439,4878,6401,0,0,0,None,23,28,28,21,17762,Management System - Direct Stop
11678,None,0,0,None,41,89,89,AB_103_1,214827,215683,214006,214678,214054,215339,215782,215125,215856,1346,1293,4359,5665,0,0,0,None,25,29,26,21,973,Management System - Direct Stop
12273,100180514,0,0,None,42,97,97,AB_007_1,200413,198429,200522,200656,198581,195848,198853,199625,198124,20650,20247,4870,6376,0,0,0,None,22,28,27,22,25052,Management System - Direct Stop
12460,None,13000,13000,None,38,69,69,AB_045_1,194997,197048,196044,195677,187985,195618,194458,196525,196768,21272,20994,4125,5368,0,0,0,None,23,27,27,22,26511,Management System - Direct Stop
11969,100180514,0,0,None,43,90,90,AB_084_1,188216,190742,190634,190785,189935,187229,190665,190770,189024,20552,20250,4783,6259,0,0,0,None,25,27,26,21,24250,Management System - Direct Stop
12307,None,0,0,None,46,76,76,AB_108_1,165977,165837,165971,165595,166063,164508,167410,167977,164707,2404,2226,4870,6418,0,0,1,None,23,28,30,21,1821,Management System - Direct Stop
11201,100180514,7000,9000,None,36,49,49,AB_081_1,221938,221154,222394,222229,220575,5365283,4968358,220226,224206,19849,19335,4563,5916,0,0,1,None,24,28,27,22,24647,Management System - Direct Stop
12461,100180514,0,0,None,37,69,69,AB_041_1,199333,200331,201378,196781,199605,196392,201754,201764,199703,21479,21032,4981,6515,0,0,0,None,24,27,28,22,27119,Management System - Direct Stop
12158,100180514,2000,2000,None,39,71,71,AB_027_1,201135,200364,190809,0,189025,199267,182924,200876,201608,20608,20395,4870,6375,0,0,1,None,23,28,26,22,25030,Management System - Direct Stop
12129,100180514,0,0,None,42,98,98,AB_024_1,195298,194902,193947,187203,192532,193971,188946,196012,196740,20820,20362,4782,6253,0,0,1,None,24,27,27,23,25367,Management System - Direct Stop
12459,None,0,0,None,39,76,76,AB_045_1,194958,197009,196005,195639,187949,195580,194420,196487,196730,21270,20993,4124,5367,0,0,1,None,22,27,27,22,26510,Management System - Direct Stop
12241,None,9000,16000,None,35,64,64,AB_070_1,215665,214392,217206,215633,215413,215170,217497,217437,217705,19026,18427,4876,6398,0,0,0,None,24,27,27,23,17757,Management System - Direct Stop
12231,None,5000,8000,None,44,97,97,AB_040_1,202190,201333,954223,200482,198723,195440,201568,201718,204268,3288,3128,4908,6424,0,0,0,None,24,25,25,22,2523,Management System - Direct Stop
11856,None,0,0,None,44,90,90,AB_072_1,208012,205878,198741,203247,203026,203291,207874,205570,208287,20764,20371,4780,6265,0,0,0,None,23,23,23,21,24718,Management System - Direct Stop
11825,None,0,0,None,43,94,94,AB_047_1,186523,182190,185093,185703,185368,177804,184359,184681,178721,12895,12506,4318,5638,0,0,1,None,24,28,29,23,11036,Management System - Direct Stop
8894,100180514,13000,14000,None,35,92,92,AB_058_1,203076,203543,203114,202408,202205,201158,202546,201144,204319,1325,1259,3721,4830,0,0,0,None,22,27,27,23,954,Management System - Direct Stop
11972,100180514,6000,6000,None,38,74,74,AB_054_1,180696,179463,178149,182598,181966,179571,178869,180575,180181,20602,20365,4791,6268,0,0,1,None,24,26,26,24,24707,Management System - Direct Stop
