WO_NUM,WO_DESCR,WO_STATUS,WO_WORKTYPE,WO_CLASS,WO_PRIO,WO_LOCATION,WO_ASSET,WO_PM,WO_JOBPLAN,WO_PROBLEMCODE,WO_SUPERVISOR,WO_LEAD,WO_OWNER,WO_FAILCODE,WO_PROBLEM,WO_REMEDY,WO_CAUSE,WO_REPORTDATE,WO_ACTCOMP
"WO231582                                                                                            ","Steering System - Steering Fault - F                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV545_                                                                                             ","AGV545-40                                                                                           ","                                                                                                    ","                                                                                                    ","STEER                                                                                               ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","STEER                                                                                               ","RESET                                                                                               ","SENSOR                                                                                              ",2018-01-01 00:00:00.0000000,2018-01-01 00:00:00.0000000
"WO231585                                                                                            ","Steering System - Steering Fault - F                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV517_                                                                                             ","AGV517-40                                                                                           ","                                                                                                    ","                                                                                                    ","STEER                                                                                               ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","STEER                                                                                               ","RESET                                                                                               ","SENSOR                                                                                              ",2018-01-01 00:00:00.0000000,2018-01-01 00:00:00.0000000
"WO231586                                                                                            ","No TCP-IP Connect                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV526_                                                                                             ","AGV526-20                                                                                           ","                                                                                                    ","                                                                                                    ","AUTOMATI                                                                                            ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","AUTOMATI                                                                                            ","RESET                                                                                               ","POSITION                                                                                            ",2018-01-01 00:00:00.0000000,2018-01-01 00:00:00.0000000
"WO231589                                                                                            ","Steering System - Steering Fault - F                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV517_                                                                                             ","AGV517-40                                                                                           ","                                                                                                    ","                                                                                                    ","STEER                                                                                               ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","STEER                                                                                               ","OVERHAUL                                                                                            ","SENSOR                                                                                              ",2018-01-01 00:00:00.0000000,2018-01-01 00:00:00.0000000
"WO231591                                                                                            ","Navigation Computer - Drive Tracking Error                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV531_                                                                                             ","AGV531-20                                                                                           ","                                                                                                    ","                                                                                                    ","DRIVE                                                                                               ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","DRIVE                                                                                               ","RESET                                                                                               ","COMMUNIC                                                                                            ",2018-01-01 00:00:00.0000000,2018-01-01 00:00:00.0000000
"WO231595                                                                                            ","Staat met gelifte tafels voor het Rack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV526_                                                                                             ","AGV526-50                                                                                           ","                                                                                                    ","                                                                                                    ","LIFT                                                                                                ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","LIFT                                                                                                ","ADJUST                                                                                              ","POSITION                                                                                            ",2018-01-01 00:00:00.0000000,2018-01-01 00:00:00.0000000
"WO231596                                                                                            ","Staat met gelifte tafels voor het Rack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV530_                                                                                             ","AGV530-50                                                                                           ","                                                                                                    ","                                                                                                    ","LIFT                                                                                                ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","LIFT                                                                                                ","ADJUST                                                                                              ","POSITION                                                                                            ",2018-01-01 00:00:00.0000000,2018-01-01 00:00:00.0000000
"WO231598                                                                                            ","Staat met Direct Stop in BES 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV520_                                                                                             ","AGV520                                                                                              ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","RESET                                                                                               ","ELECTRI                                                                                             ",2018-01-01 00:00:00.0000000,2018-01-01 00:00:00.0000000
"WO231601                                                                                            ","Navigation Computer - Too Far Off Travel Path                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",2,"AGV550_                                                                                             ","AGV550-20-025                                                                                       ","                                                                                                    ","                                                                                                    ","FAULT SG                                                                                            ","FRANK.ZIJLMANS                                                                                      ","JAN-WILLEM.BEVERSLUI                                                                                ","TOMMY.VERMEULEN                                                                                     ","SEN                                                                                                 ","FAULT SG                                                                                            ","ADJUST                                                                                              ","WRNG ADJ                                                                                            ",2018-01-01 00:00:00.0000000,2018-01-01 00:00:00.0000000
"WO231605                                                                                            ","Power In-Feed - Pre-Charging Fault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV555_                                                                                             ","AGV555-10-070                                                                                       ","                                                                                                    ","                                                                                                    ","DRIVE                                                                                               ","FRANK.ZIJLMANS                                                                                      ","JAN-WILLEM.BEVERSLUI                                                                                ","                                                                                                    ","AGV                                                                                                 ","DRIVE                                                                                               ","ADJUST                                                                                              ","BATTERY                                                                                             ",2018-01-02 00:00:00.0000000,2018-01-02 00:00:00.0000000
