RECORD_ID,DATE_EVENT,DEVICE_ID,ITEMNAME,ITEMVALUE,TYPE,X,Y,VOLOCITY,ARC
7912,2018-06-28 13:35:01.9470000,AGV559,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,226720 16703 28.06.2018 10:49:16.448,F,2222420,108011,-444,1,
7910,2018-06-28 13:35:01.9300000,AGV557,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,246519 16303 28.06.2018 11:07:17.853,F,2836320,378167,57,396,
7912,2018-06-28 13:34:51.6800000,AGV559,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,226416 16702 28.06.2018 10:49:15.766,F,2222420,108011,-444,1,
7910,2018-06-28 13:34:51.6670000,AGV557,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,246818 16303 28.06.2018 11:07:17.214,F,2836320,378167,57,396,
7909,2018-06-28 13:34:51.6500000,AGV556,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,232123 11602 28.06.2018 10:47:27.790,R,2121859,166987,-397,1798,
7908,2018-06-28 13:34:51.6330000,AGV555,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,239016 15901 28.06.2018 10:49:27.261,R,1978309,173511,-398,3599,
7907,2018-06-28 13:34:51.6330000,AGV554,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,178591 19036 28.06.2018 13:20:00.990,R,1988647,150011,595,1800,
7906,2018-06-28 13:34:51.6200000,AGV553,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,188622 21404 28.06.2018 10:57:50.356,F,2226988,192393,0,900,
7912,2018-06-28 13:34:41.5870000,AGV559,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,226118 16701 28.06.2018 10:49:15.251,F,2222420,108011,-444,1,
7910,2018-06-28 13:34:41.5730000,AGV557,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,247121 16303 28.06.2018 11:07:16.491,F,2836320,378167,57,396,
7909,2018-06-28 13:34:41.5730000,AGV556,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,231823 11601 28.06.2018 10:47:27.109,R,2121859,166987,-397,1798,
7908,2018-06-28 13:34:41.5570000,AGV555,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,238719 15902 28.06.2018 10:49:26.740,R,1978309,173511,-398,3599,
7907,2018-06-28 13:34:41.5400000,AGV554,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,178591 18821 28.06.2018 13:19:59.870,R,1988647,150011,595,1800,
7906,2018-06-28 13:34:41.5270000,AGV553,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,188620 20218 28.06.2018 10:57:33.833,R,2226988,192393,0,900,
